61282.1165 7761.7045 9263.8685 -443205.4385 57452.3437 88710.3033 -218708.9717 299.1657 -307419.2750 -216779.5543 299.1657
61638.0516 7698.8252 9267.8795 -443618.8392 57237.1492 89055.0351 -218695.9495 300.3283 -307750.9846 -216793.1074 299.8948
61602.4142 7843.6465 9295.4999 -443963.9481 57767.9692 88793.6835 -218632.1900 299.4469 -307425.8735 -216663.6922 300.1933
61476.4727 7724.2033 9281.0932 -443746.5733 57171.3739 88861.7587 -219202.8857 299.6765 -308064.6444 -217279.3998 299.4260
61744.5302 7771.8455 9362.5532 -443773.2394 57275.8434 88669.7637 -218920.2775 299.0290 -307590.0413 -216993.8353 299.4466
61195.1187 7848.1595 9320.1780 -443430.3895 57456.1685 88851.9960 -218731.8897 299.6435 -307583.8857 -216802.3768 299.6036
61219.0427 7668.5748 9323.7443 -443203.8350 57198.0678 88933.1184 -218833.8091 299.9171 -307766.9275 -216917.8299 299.9148
61360.0970 7798.1617 9355.3002 -443314.7698 57348.7742 88574.0480 -218851.2927 298.7062 -307425.3407 -216946.2096 299.6817
61276.7167 7800.0905 9294.1770 -443221.0977 57076.8730 88852.3362 -218892.2013 299.6447 -307744.5375 -216971.7818 299.3779
61137.7121 7744.7706 9329.1084 -442144.0118 56370.0732 88822.5960 -218710.4708 299.5444 -307533.0668 -216805.4070 299.6699
61301.5819 7759.8758 9308.0694 -442744.6519 56755.6496 89286.3833 -218304.1134 301.1085 -307590.4967 -216328.2573 300.1502
61327.8752 7613.9102 9302.5630 -443160.4492 57258.4624 89378.9917 -218248.0039 301.4208 -307626.9956 -216285.4324 300.3887
61899.6729 7721.4184 9312.8161 -443220.3261 57047.3858 89082.0893 -218129.2445 300.4195 -307211.3338 -216264.8036 300.4777
61389.2834 7672.7629 9373.9603 -443291.7772 57395.1372 88840.9037 -218590.6010 299.6061 -307431.5047 -216665.5361 300.2821
61375.6604 7778.8582 9310.6847 -443695.8555 57357.0362 88771.6263 -219072.7069 299.3725 -307844.3332 -217165.0744 299.6430
61348.4409 7678.4954 9228.0806 -443060.9716 56827.9323 88956.0409 -218993.9019 299.9944 -307949.9427 -217052.6053 299.4006
61399.2785 7635.6621 9301.0673 -442676.0915 57003.6998 88679.1224 -218630.1224 299.0605 -307309.2448 -216735.2312 299.5994
62022.2990 7633.6963 9294.5184 -444218.1076 57695.8401 88900.6522 -218642.6173 299.8076 -307543.2695 -216723.3855 299.4631
61366.0485 7724.1123 9252.8719 -443439.9821 57614.6701 88907.6765 -218547.4156 299.8313 -307455.0921 -216581.0773 300.1287
61496.7986 7665.1062 9320.0419 -443172.3145 57091.1902 88658.1688 -218913.6206 298.9899 -307571.7893 -217031.0548 299.9390
61319.6053 7790.8884 9313.3082 -443077.1106 56983.7334 88523.9343 -219117.5371 298.5372 -307641.4714 -217189.5727 298.9663
61184.5288 7689.8015 9267.4246 -443290.5355 56891.2056 88762.0360 -219465.6030 299.3402 -308227.6390 -217503.9336 298.8720
61720.5283 7758.3854 9317.1694 -443690.9362 57384.9552 88765.4359 -218717.1853 299.3516 -307482.6212 -216844.5892 299.4723
61130.4230 7802.5253 9259.9008 -443520.5170 57572.2078 88782.1516 -218946.4268 299.4080 -307728.5784 -217012.8854 299.4458
61326.7456 7805.7218 9336.3215 -443113.5030 56782.2959 88975.2524 -218860.2439 300.0592 -307835.4963 -216954.5313 299.6748
61660.3226 7841.9733 9354.2374 -443704.7752 56986.3682 88961.9330 -218872.2244 300.0143 -307834.1574 -216883.8855 299.6943
61564.5212 7721.3069 9326.3905 -443776.7032 57197.8025 89009.0361 -218929.8582 300.1731 -307938.8943 -217010.9427 299.7667
61458.5599 7748.7975 9306.7588 -443002.6107 56637.2021 88970.7728 -218852.8946 300.0441 -307823.6674 -216900.1217 300.2100
